Date,SP1,SP56337,SP56339,SP56373,SP56385,SP56386,SP74625,SP74626,SP74627,SP74628,SP74629,SP74630,SP74631,SP74640
8/1/1992,16.42015353,16.09592638,10.40874518,10.66031489,11.62497826,19.55716663,17.22154201,16.62819922,19.10768256,17.84502952,17.1614003,14.07505591,12.33989745,14.94618337
9/1/1992,16.56298842,16.091669,12.97418177,10.69523826,11.48949902,19.66381922,17.41391973,16.72104729,19.21187766,18.16343179,17.3210207,14.08454425,12.36245837,14.94766948
10/1/1992,16.6822528,16.2401472,13.06706811,10.84835296,11.68299581,19.77137184,17.52987057,16.82120921,19.36698547,18.29869533,17.46111276,14.21101525,12.46970998,14.97634332
11/1/1992,16.82085807,16.46342904,13.06876818,11.02298752,12.16820395,19.76907029,17.65512425,16.9244927,19.56091992,18.45110947,17.63833604,14.38321154,12.5958268,15.019123
12/1/1992,17.06037067,17.19049727,13.07010281,11.14918886,13.54798629,19.93065231,17.8294454,17.05901342,19.73541145,18.67505164,17.93532597,14.79252529,12.71053558,15.11267632
1/1/1993,17.27436988,17.41959504,13.19597656,11.26174693,13.61062592,20.29585567,18.05355205,17.18036497,19.84932304,19.0290642,18.40495967,14.97686425,12.85490585,15.30790157
2/1/1993,17.41550261,17.20485036,13.24311812,11.36885341,12.95574576,20.45703839,18.25532117,17.36655329,20.04735667,19.24919699,18.65047271,14.95522931,13.01505362,15.55418506
3/1/1993,17.51699835,16.79024236,13.2726813,11.49344439,11.95518369,20.54542156,18.44042674,17.54432282,20.2432072,19.44223251,18.87561988,14.83355352,13.16805516,15.75220221
4/1/1993,17.61801267,16.75498885,13.3977276,11.52522247,12.03153056,20.41660268,18.56321573,17.65620869,20.3412493,19.57801834,19.006363,14.87547129,13.28322805,16.005082
5/1/1993,17.71872134,16.99069799,13.5361153,11.57499939,12.67656182,20.30199854,18.64566745,17.72696451,20.40758442,19.67480362,19.0812883,15.02329411,13.3499852,16.09915561
6/1/1993,17.81810227,17.18051901,13.60164528,11.70422406,13.15833613,20.24153055,18.72556105,17.78899003,20.51322967,19.77696118,19.17824642,15.17306904,13.46381686,16.18531589
7/1/1993,17.90372831,17.30123665,13.63840185,11.83199876,13.25805895,20.37761885,18.80318102,17.82320608,20.53732119,19.90958912,19.32258927,15.27881136,13.55671847,16.21827972
8/1/1993,17.99955398,17.26145319,13.70864599,11.96413188,13.16289135,20.38538955,18.92439434,17.94455346,20.71404671,20.02966692,19.45578546,15.30598318,13.64733681,16.23787813
9/1/1993,18.13286363,17.34854519,15.80236354,12.09131446,13.32764809,20.40518447,19.07477278,18.01454296,20.83979566,20.28187369,19.59651198,15.39223626,13.73384026,16.25482947
10/1/1993,18.20702345,17.15069452,15.81804237,12.2711192,12.87669902,20.424964,19.18788498,18.09913655,20.98063414,20.43063513,19.78172375,15.36205594,13.86135786,16.29267546
11/1/1993,18.28732903,17.19578264,15.82426167,12.45249771,13.06513377,20.3481033,19.25779757,18.15667323,21.1283627,20.51585245,19.86478803,15.46887874,14.02766727,16.43098041
12/1/1993,18.42676723,17.72161668,15.82426167,12.5619699,13.90466853,20.59870913,19.32986993,18.17460329,21.16014726,20.65673885,20.01351215,15.78520965,14.15031894,16.57365256
