Fecha,inf235830,inf235831,,,,
Ago 1978,1,11.38,,,,
Sep-78,1.14,12.65,,,,
Oct-78,1.21,14.02,,,,
Nov-78,1.03,15.19,,,,
Dic 1978,0.85,16.17,,,,
Ene 1979,3.55,3.55,,,,
Feb-79,1.44,5.04,,,,
Mar-79,1.36,6.46,,,,
Abr 1979,0.9,7.42,,,,
May-79,1.31,8.82,,,,
Jun-79,1.11,10.03,,,,
Jul-79,1.21,11.36,,,,
Ago 1979,1.51,13.05,,,,
Sep-79,1.23,14.44,,,,
Oct-79,1.75,16.44,,,,
Nov-79,1.29,17.93,,,,
Dic 1979,1.77,20.02,,,,
Ene 1980,4.88,4.88,,,,
Feb-80,2.31,7.3,,,,
Mar-80,2.06,9.51,,,,
Abr 1980,1.75,11.42,,,,
May-80,1.63,13.24,,,,
Jun-80,1.98,15.48,,,,
Jul-80,2.79,18.71,,,,
Ago 1980,2.07,21.17,,,,
Sep-80,1.11,22.51,,,,
Oct-80,1.51,24.37,,,,
Nov-80,1.73,26.53,,,,
Dic 1980,2.62,29.85,,,,
Ene 1981,3.22,3.22,,,,
Feb-81,2.46,5.76,,,,
Mar-81,2.14,8.02,,,,
Abr 1981,2.26,10.46,,,,
May-81,1.51,12.13,,,,
Jun-81,1.4,13.69,,,,
Jul-81,1.76,15.7,,,,
Ago 1981,2.06,18.08,,,,
Sep-81,1.86,20.28,,,,
Oct-81,2.22,22.95,,,,
Nov-81,1.92,25.31,,,,
Dic 1981,2.69,28.68,,,,
Ene 1982,4.97,4.97,,,,
Feb-82,3.93,9.09,,,,
Mar-82,3.65,13.08,,,,
Abr 1982,5.42,19.21,,,,
May-82,5.62,25.91,,,,
Jun-82,4.82,31.97,,,,
Jul-82,5.15,38.77,,,,
Ago 1982,11.22,54.34,,,,
Sep-82,5.34,62.58,,,,
Oct-82,5.18,71.01,,,,
Nov-82,5.06,79.66,,,,
Dic 1982,10.68,98.84,,,,
Ene 1983,10.88,10.88,,,,
Feb-83,5.37,16.83,,,,
Mar-83,4.84,22.49,,,,
Abr 1983,6.33,30.24,,,,
May-83,4.34,35.89,,,,
Jun-83,3.79,41.04,,,,
Jul-83,4.94,48.01,,,,
Ago 1983,3.88,53.75,,,,
Sep-83,3.08,58.49,,,,
Oct-83,3.32,63.74,,,,
Nov-83,5.87,73.36,,,,
Dic 1983,4.28,80.78,,,,
Ene 1984,6.35,6.35,,,,
Feb-84,5.28,11.97,,,,
Mar-84,4.27,16.75,,,,
Abr 1984,4.33,21.8,,,,
May-84,3.32,25.84,,,,
Jun-84,3.62,30.4,,,,
Jul-84,3.28,34.67,,,,
Ago 1984,2.84,38.5,,,,
Sep-84,2.98,42.62,,,,
Oct-84,3.49,47.61,,,,
Nov-84,3.43,52.67,,,,
Dic 1984,4.25,59.16,,,,
Ene 1985,7.42,7.42,,,,
Feb-85,4.15,11.88,,,,
Mar-85,3.87,16.22,,,,
Abr 1985,3.08,19.79,,,,
May-85,2.37,22.63,,,,
Jun-85,2.5,25.7,,,,
Jul-85,3.48,30.08,,,,
Ago 1985,4.37,35.77,,,,
Sep-85,3.99,41.19,,,,
Oct-85,3.8,46.55,,,,
Nov-85,4.61,53.31,,,,
Dic 1985,6.81,63.75,,,,
Ene 1986,8.84,8.84,,,,
Feb-86,4.45,13.68,,,,
Mar-86,4.65,18.96,,,,
Abr 1986,5.22,25.17,,,,
May-86,5.56,32.13,,,,
Jun-86,6.42,40.61,,,,
Jul-86,4.99,47.63,,,,
Ago 1986,7.97,59.4,,,,
Sep-86,6,68.96,,,,
Oct-86,5.72,78.62,,,,
Nov-86,6.76,90.69,,,,
Dic 1986,7.9,105.75,,,,
Ene 1987,8.1,8.1,,,,
Feb-87,7.22,15.9,,,,
Mar-87,6.61,23.56,,,,
Abr 1987,8.75,34.37,,,,
May-87,7.54,44.5,,,,
Jun-87,7.23,54.95,,,,
Jul-87,8.1,67.5,,,,
Ago 1987,8.17,81.19,,,,
Sep-87,6.59,93.13,,,,
Oct-87,8.33,109.22,,,,
Nov-87,7.93,125.82,,,,
Dic 1987,14.77,159.17,,,,
Ene 1988,15.46,15.46,,,,
Feb-88,8.34,25.09,,,,
Mar-88,5.12,31.5,,,,
Abr 1988,3.08,35.55,,,,
May-88,1.93,38.17,,,,
Jun-88,2.04,40.99,,,,
Jul-88,1.67,43.34,,,,
Ago 1988,0.92,44.66,,,,
Sep-88,0.57,45.49,,,,
Oct-88,0.76,46.6,,,,
Nov-88,1.34,48.56,,,,
Dic 1988,2.09,51.66,,,,
Ene 1989,2.45,2.45,,,,
Feb-89,1.36,3.84,,,,
Mar-89,1.08,4.96,,,,
Abr 1989,1.5,6.53,,,,
May-89,1.38,8,,,,
Jun-89,1.21,9.31,,,,
Jul-89,1,10.41,,,,
Ago 1989,0.95,11.46,,,,
Sep-89,0.96,12.52,,,,
Oct-89,1.48,14.19,,,,
Nov-89,1.4,15.79,,,,
Dic 1989,3.37,19.7,,,,
Ene 1990,4.83,4.83,,,,
Feb-90,2.26,7.2,,,,
Mar-90,1.76,9.09,,,,
Abr 1990,1.52,10.75,,,,
May-90,1.75,12.68,,,,
Jun-90,2.2,15.16,,,,
Jul-90,1.82,17.26,,,,
Ago 1990,1.7,19.26,,,,
Sep-90,1.43,20.96,,,,
Oct-90,1.44,22.7,,,,
Nov-90,2.66,25.96,,,,
Dic 1990,3.15,29.93,,,,
Ene 1991,2.55,2.55,,,,
Feb-91,1.75,4.34,,,,
Mar-91,1.43,5.83,,,,
Abr 1991,1.05,6.94,,,,
May-91,0.98,7.98,,,,
Jun-91,1.05,9.11,,,,
Jul-91,0.88,10.08,,,,
Ago 1991,0.7,10.84,,,,
Sep-91,1,11.95,,,,
Oct-91,1.16,13.25,,,,
Nov-91,2.48,16.06,,,,
Dic 1991,2.35,18.79,,,,
Ene 1992,1.82,1.82,,,,
Feb-92,1.18,3.02,,,,
Mar-92,1.02,4.07,,,,
Abr 1992,0.89,5,,,,
May-92,0.66,5.69,,,,
Jun-92,0.68,6.41,,,,
Jul-92,0.63,7.08,,,,
Ago 1992,0.61,7.74,,,,
Sep-92,0.87,8.67,,,,
Oct-92,0.72,9.46,,,,
Nov-92,0.83,10.37,,,,
Dic 1992,1.42,11.94,,,,
Ene 1993,1.25,1.25,,,,
Feb-93,0.82,2.08,,,,
Mar-93,0.58,2.68,,,,
Abr 1993,0.58,3.27,,,,
May-93,0.57,3.86,,,,
Jun-93,0.56,4.44,,,,
Jul-93,0.48,4.94,,,,
Ago 1993,0.54,5.51,,,,
Sep-93,0.74,6.29,,,,
Oct-93,0.41,6.72,,,,
Nov-93,0.44,7.19,,,,
Dic 1993,0.76,8.01,,,,
Ene 1994,0.78,0.78,,,,
Feb-94,0.51,1.29,,,,
Mar-94,0.51,1.81,,,,
Abr 1994,0.49,2.31,,,,
May-94,0.48,2.81,,,,
Jun-94,0.5,3.32,,,,
Jul-94,0.44,3.78,,,,
Ago 1994,0.47,4.26,,,,
Sep-94,0.71,5.01,,,,
Oct-94,0.52,5.56,,,,
Nov-94,0.53,6.12,,,,
Dic 1994,0.88,7.05,,,,
Ene 1995,3.76,3.76,,,,
Feb-95,4.24,8.16,,,,
Mar-95,5.9,14.54,,,,
Abr 1995,7.97,23.66,,,,
May-95,4.18,28.83,,,,
Jun-95,3.17,32.92,,,,
Jul-95,2.04,35.63,,,,
Ago 1995,1.66,37.88,,,,
Sep-95,2.07,40.73,,,,
Oct-95,2.06,43.63,,,,
Nov-95,2.47,47.17,,,,
Dic 1995,3.26,51.97,,,,
Ene 1996,3.59,3.59,,,,
Feb-96,2.33,6.01,,,,
Mar-96,2.2,8.35,,,,
Abr 1996,2.84,11.43,,,,
May-96,1.82,13.46,,,,
Jun-96,1.63,15.31,,,,
Jul-96,1.42,16.94,,,,
Ago 1996,1.33,18.5,,,,
Sep-96,1.6,20.39,,,,
Oct-96,1.25,21.9,,,,
Nov-96,1.52,23.74,,,,
Dic 1996,3.2,27.7,,,,
Ene 1997,2.57,2.57,,,,
Feb-97,1.68,4.3,,,,
Mar-97,1.24,5.59,,,,
Abr 1997,1.08,6.73,,,,
May-97,0.91,7.71,,,,
Jun-97,0.89,8.66,,,,
Jul-97,0.87,9.61,,,,
Ago 1997,0.89,10.58,,,,
Sep-97,1.25,11.96,,,,
Oct-97,0.8,12.86,,,,
Nov-97,1.12,14.12,,,,
Dic 1997,1.4,15.72,,,,
Ene 1998,2.18,2.18,,,,
Feb-98,1.75,3.96,,,,
Mar-98,1.17,5.18,,,,
Abr 1998,0.94,6.17,,,,
May-98,0.8,7.01,,,,
Jun-98,1.18,8.28,,,,
Jul-98,0.96,9.32,,,,
Ago 1998,0.96,10.37,,,,
Sep-98,1.62,12.16,,,,
Oct-98,1.43,13.77,,,,
Nov-98,1.77,15.78,,,,
Dic 1998,2.44,18.61,,,,
Ene 1999,2.53,2.53,,,,
Feb-99,1.34,3.9,,,,
Mar-99,0.93,4.87,,,,
Abr 1999,0.92,5.83,,,,
May-99,0.6,6.47,,,,
Jun-99,0.66,7.17,,,,
Jul-99,0.66,7.88,,,,
Ago 1999,0.56,8.48,,,,
Sep-99,0.97,9.53,,,,
Oct-99,0.63,10.22,,,,
Nov-99,0.89,11.2,,,,
Dic 1999,1,12.32,,,,
Ene 2000,1.34,1.34,,,,
Feb-00,0.89,2.24,,,,
Mar-00,0.55,2.81,,,,
Abr 2000,0.57,3.39,,,,
May-00,0.37,3.78,,,,
Jun-00,0.59,4.39,,,,
Jul-00,0.39,4.8,,,,
Ago 2000,0.55,5.38,,,,
Sep-00,0.73,6.15,,,,
Oct-00,0.69,6.88,,,,
Nov-00,0.86,7.79,,,,
Dic 2000,1.08,8.96,,,,
Ene 2001,0.55,0.55,,,,
1-Feb,-0.07,0.49,,,,
1-Mar,0.63,1.12,,,,
Abr 2001,0.5,1.63,,,,
1-May,0.23,1.87,,,,
1-Jun,0.24,2.11,,,,
1-Jul,-0.26,1.84,,,,
Ago 2001,0.59,2.45,,,,
1-Sep,0.93,3.4,,,,
1-Oct,0.45,3.87,,,,
1-Nov,0.38,4.26,,,,
Dic 2001,0.14,4.4,,,,
Ene 2002,0.92,0.92,,,,
2-Feb,-0.06,0.86,,,,
2-Mar,0.51,1.37,,,,
Abr 2002,0.55,1.93,,,,
2-May,0.2,2.13,,,,
2-Jun,0.49,2.63,,,,
2-Jul,0.29,2.93,,,,
Ago 2002,0.38,3.32,,,,
2-Sep,0.6,3.94,,,,
2-Oct,0.44,4.4,,,,
2-Nov,0.81,5.24,,,,
Dic 2002,0.44,5.7,,,,
Ene 2003,0.4,0.4,,,,
3-Feb,0.28,0.68,,,,
3-Mar,0.63,1.32,,,,
Abr 2003,0.17,1.49,,,,
3-May,-0.32,1.16,,,,
3-Jun,0.08,1.25,,,,
3-Jul,0.14,1.39,,,,
Ago 2003,0.3,1.7,,,,
3-Sep,0.6,2.3,,,,
3-Oct,0.37,2.68,,,,
3-Nov,0.83,3.53,,,,
Dic 2003,0.43,3.98,,,,
Ene 2004,0.62,0.62,,,,
4-Feb,0.6,1.22,,,,
4-Mar,0.34,1.57,,,,
Abr 2004,0.15,1.72,,,,
4-May,-0.25,1.46,,,,
4-Jun,0.16,1.63,,,,
4-Jul,0.26,1.89,,,,
Ago 2004,0.62,2.52,,,,
4-Sep,0.83,3.37,,,,
4-Oct,0.69,4.09,,,,
4-Nov,0.85,4.97,,,,
Dic 2004,0.21,5.19,,,,
Ene 2005,0,0,,,,
5-Feb,0.33,0.34,,,,
5-Mar,0.45,0.79,,,,
Abr 2005,0.36,1.15,,,,
5-May,-0.25,0.89,,,,
5-Jun,-0.1,0.8,,,,
5-Jul,0.39,1.19,,,,
Ago 2005,0.12,1.31,,,,
5-Sep,0.4,1.72,,,,
5-Oct,0.25,1.97,,,,
5-Nov,0.72,2.7,,,,
Dic 2005,0.61,3.33,,,,
Ene 2006,0.59,0.59,,,,
6-Feb,0.15,0.74,,,,
6-Mar,0.13,0.87,,,,
Abr 2006,0.15,1.01,,,,
6-May,-0.45,0.56,,,,
6-Jun,0.09,0.65,,,,
6-Jul,0.27,0.93,,,,
Ago 2006,0.51,1.44,,,,
6-Sep,1.01,2.47,,,,
6-Oct,0.44,2.91,,,,
6-Nov,0.52,3.45,,,,
Dic 2006,0.58,4.05,,,,
Ene 2007,0.52,0.52,,,,
7-Feb,0.28,0.8,,,,
7-Mar,0.22,1.02,,,,
Abr 2007,-0.06,0.96,,,,
7-May,-0.49,0.46,,,,
7-Jun,0.12,0.58,,,,
7-Jul,0.42,1.01,,,,
Ago 2007,0.41,1.42,,,,
7-Sep,0.78,2.21,,,,
7-Oct,0.39,2.61,,,,
7-Nov,0.71,3.33,,,,
Dic 2007,0.41,3.76,,,,
Ene 2008,0.46,0.46,,,,
8-Feb,0.3,0.76,,,,
8-Mar,0.72,1.49,,,,
Abr 2008,0.23,1.72,,,,
8-May,-0.11,1.61,,,,
8-Jun,0.41,2.03,,,,
8-Jul,0.56,2.6,,,,
Ago 2008,0.58,3.2,,,,
8-Sep,0.68,3.9,,,,
8-Oct,0.68,4.61,,,,
8-Nov,1.14,5.8,,,,
Dic 2008,0.69,6.53,,,,
Ene 2009,0.23,0.23,,,,
9-Feb,0.22,0.45,,,,
9-Mar,0.58,1.03,,,,
Abr 2009,0.35,1.38,,,,
9-May,-0.29,1.09,,,,
9-Jun,0.18,1.28,,,,
9-Jul,0.27,1.55,,,,
Ago 2009,0.24,1.79,,,,
9-Sep,0.5,2.3,,,,
9-Oct,0.3,2.61,,,,
9-Nov,0.52,3.15,,,,
Dic 2009,0.41,3.57,,,,
Ene 2010,1.09,1.09,,,,
10-Feb,0.58,1.67,,,,
10-Mar,0.71,2.39,,,,
Abr 2010,-0.32,2.07,,,,
10-May,-0.63,1.42,,,,
10-Jun,-0.03,1.39,,,,
10-Jul,0.22,1.61,,,,
Ago 2010,0.28,1.89,,,,
10-Sep,0.52,2.43,,,,
10-Oct,0.62,3.06,,,,
10-Nov,0.8,3.89,,,,
Dic 2010,0.5,4.4,,,,
Ene 2011,0.49,0.49,,,,
11-Feb,0.38,0.86,,,,
11-Mar,0.19,1.06,,,,
Abr 2011,-0.01,1.05,,,,
11-May,-0.74,0.3,,,,
11-Jun,0,0.3,,,,
11-Jul,0.48,0.78,,,,
Ago 2011,0.16,0.94,,,,
11-Sep,0.25,1.19,,,,
11-Oct,0.67,1.87,,,,
11-Nov,1.08,2.97,,,,
Dic 2011,0.82,3.82,,,,
Ene 2012,0.71,0.71,,,,
12-Feb,0.2,0.91,,,,
12-Mar,0.06,0.97,,,,
Abr 2012,-0.31,0.65,,,,
12-May,-0.32,0.34,,,,
12-Jun,0.46,0.8,,,,
12-Jul,0.56,1.36,,,,
Ago 2012,0.3,1.67,,,,
12-Sep,0.44,2.12,,,,
12-Oct,0.51,2.63,,,,
12-Nov,0.68,3.33,,,,
Dic 2012,0.23,3.57,,,,
Ene 2013,0.4,0.4,,,,
13-Feb,0.49,0.9,,,,
13-Mar,0.73,1.64,,,,
Abr 2013,0.07,1.7,,,,
13-May,-0.33,1.37,,,,
13-Jun,-0.06,1.3,,,,
13-Jul,-0.03,1.27,,,,
Ago 2013,0.28,1.56,,,,
13-Sep,0.38,1.94,,,,
13-Oct,0.48,2.43,,,,
13-Nov,0.93,3.38,,,,
Dic 2013,0.57,3.97,,,,
Ene 2014,0.89,0.89,,,,
14-Feb,0.25,1.15,,,,
14-Mar,0.27,1.43,,,,
Abr 2014,-0.19,1.24,,,,
14-May,-0.32,0.91,,,,
14-Jun,0.17,1.09,,,,
14-Jul,0.28,1.37,,,,
Ago 2014,0.36,1.73,,,,
14-Sep,0.44,2.18,,,,
14-Oct,0.55,2.75,,,,
14-Nov,0.81,3.57,,,,
Dic 2014,0.49,4.08,,,,
Ene 2015,-0.09,-0.09,,9.05,9.05E-04,0.0905
