Periodo,Aguascalientes a/  ,Baja California a/  ,Baja California Sur a/  ,Campeche a/  ,Coahuila de Zaragoza a/  ,Colima a/  ,Chiapas a/  ,Chihuahua a/  ,Distrito Federal a/  ,Durango a/  ,Guanajuato a/  ,Guerrero a/  ,Hidalgo a/  ,Jalisco a/  ,México a/  ,Michoacán de Ocampo a/  ,Morelos a/  ,Nayarit a/  ,Nuevo León a/  ,Oaxaca a/  ,Puebla a/  ,Querétaro a/  ,Quintana Roo a/  ,San Luis Potosí a/  ,Sinaloa a/  ,Sonora a/  ,Tabasco a/  ,Tamaulipas a/  ,Tlaxcala a/  ,Veracruz de Ignacio de la Llave a/  ,Yucatán a/  ,Zacatecas a/  
2006/06,4.203542688,1.263567314,2.087441076,1.924763464,5.091734192,2.752481224,1.459076477,2.625491103,5.061761892,3.448220027,2.680697852,1.033192851,3.36500843,2.761604123,4.151594243,2.487815909,2.562256555,2.407984665,4.729668124,1.677555283,2.618661371,3.265299869,2.759903945,2.675305441,2.591477308,2.994611144,2.712224728,3.897297496,3.683783008,1.878134741,2.257372394,2.950056651
2006/07,4.355449748,1.590151451,2.194292427,2.325804979,5.498951134,3.267737081,1.624884719,2.757248107,5.469039633,3.706860168,3.089442454,1.376014566,3.598686363,3.113430642,4.742629172,2.772045731,2.635937105,2.595199756,5.344661848,1.721658433,2.359459265,3.687693038,2.623021215,2.657276623,2.957437181,3.005103933,2.67992094,4.395488119,3.832895375,1.695006338,2.444590302,2.958791883
2006/08,4.473059833,2.094284342,2.219473887,2.684315296,5.309752661,3.445421829,1.689456007,2.999392938,5.896295797,4.639965852,3.667482188,1.665321283,3.888731405,3.600532842,5.183536017,2.693498647,2.774511971,3.004060429,5.588849023,1.703456473,2.65899848,3.9544402,2.636628023,2.838673575,3.539125264,3.711333753,3.094201893,4.908027197,4.251406302,2.125668428,2.588896305,3.637303211
2006/09,4.817384344,2.215750479,2.020901809,2.889151767,5.627997545,3.713412541,1.965801393,2.975996805,6.108752093,4.551022911,4.270207024,2.016447341,3.551095078,3.859055415,5.246858908,3.00455142,3.283118604,3.403221999,5.876006876,1.892382231,3.107100063,4.199606861,2.749380225,2.856585325,4.085705791,3.922468235,3.461823294,5.560486295,5.199621797,2.130032736,2.648509135,4.051514405
2006/10,4.78333978,2.199108529,1.996382186,2.498151726,5.528413542,3.365814184,2.050541921,2.850546934,6.111865478,4.325315549,4.197766682,1.84881604,3.000265798,3.989739389,4.94228445,2.609078034,3.323588123,3.058118046,5.361158487,2.26851342,3.615363604,3.756195417,2.517988266,2.611641749,3.642669473,4.203103655,4.092312045,5.396497336,4.845242188,2.559599518,2.161532314,4.522911929
2006/11,4.231645287,2.036603865,1.60645046,2.308285935,5.59284483,3.292530707,2.133022402,2.657545121,6.221178542,3.536519053,3.588606094,1.379373234,2.789388645,3.64608759,5.204568164,2.921093878,3.156583971,2.839496214,4.950273587,2.241029501,3.297478408,3.982125327,2.596909947,2.381252785,3.075237,3.863110587,4.303054525,5.07452565,4.698097991,2.420992286,2.087701005,4.253442644
2006/12,3.971579897,2.100220198,1.554600432,1.859196708,5.014349085,2.998727095,2.1451193,2.785616446,5.392130215,3.088619706,3.409607845,1.228841799,3.187987016,3.741687557,5.051404884,2.532869217,2.840967285,2.714223661,4.408609352,1.967386213,2.955946271,3.623393707,2.519381449,2.478027104,2.677433947,3.595851049,4.109217321,4.889744447,4.17263111,2.594377742,1.867605435,3.921634343
2007/01,4.386723066,2.496330397,1.544299658,1.911615822,5.304782377,2.748699267,2.072914533,3.446562121,5.082804412,3.718600437,3.740792887,1.186826327,3.6714079,3.693664816,5.410674683,2.84707498,2.916091833,2.915502187,4.552800635,1.928764246,2.593548825,3.834015059,2.582213275,2.813271678,2.562368869,3.111333312,4.616510404,4.598510775,4.659316525,2.214089657,2.116227194,4.016901051
2007/02,5.121387957,2.546326129,1.806179437,2.207370359,5.732540271,2.724550876,2.107719792,3.661143008,5.227435581,4.213481678,4.303342439,1.17265496,4.340660287,3.81985004,5.594879451,2.671002249,3.166249678,3.171604068,4.830409479,1.925051757,3.319786477,3.634275886,2.802611987,3.13586453,2.621523692,2.612810621,4.789512307,4.916915721,4.667458559,2.18192354,1.846476292,4.355086795
2007/03,5.55109147,2.479983385,1.926452556,2.672764011,6.540269413,2.861552753,2.070534661,4.040538917,5.68276117,4.916953036,3.97247747,1.034317148,4.554843661,3.483024865,5.970654791,2.691444397,3.302196471,3.083967994,4.991924208,2.015595977,3.479293096,3.712007366,2.772589903,3.322005651,2.588528782,2.555471486,5.105971206,4.75906031,4.947458926,2.090374871,1.893573514,4.645039338
2007/04,4.896147065,2.026079227,1.863473312,2.390630188,6.299823174,2.978190559,1.966969169,3.562722211,6.154552192,4.035900529,3.259784465,0.743421475,4.376492529,2.903846923,5.920579493,1.888339836,3.137562869,2.971905072,4.70722512,1.620175957,3.64160319,3.579595345,2.532117473,2.998467757,2.689724445,2.616196058,4.720448662,4.986270622,5.005442323,2.182137999,1.79744234,4.218599763
2007/05,3.987130516,1.689081355,2.087326328,2.066169648,5.65865336,3.099964289,1.926844861,2.95275123,6.021548766,3.647323611,2.617764654,0.972835305,3.666658546,2.739251744,5.261730359,1.697503703,3.232581905,2.772781505,4.663587892,1.801222458,3.112342673,3.053676012,2.217823938,2.611004667,2.768926384,2.535008502,3.97976365,4.2870184,5.324105729,2.077975633,1.867879328,4.446376448
2007/06,3.493180124,1.471621583,1.865991692,1.412160771,4.734843407,3.024057238,2.086252987,2.630803308,5.95258822,2.877952403,2.658633715,1.243414527,3.496613728,2.971967813,4.897166472,1.625106923,2.725135971,2.599014869,4.432260662,1.592591047,2.737486609,3.26803259,2.422956876,2.382826326,2.954590362,2.953579665,3.910609795,4.078260148,4.775373642,2.074451526,2.229513759,4.041106989
2007/07,4.040047664,1.354854433,2.057456701,1.656542919,4.579577534,2.946412171,2.261986675,2.808753715,6.133623833,3.145788456,2.931806841,1.360894415,2.884937299,2.926169505,4.745501097,2.050146163,2.890035584,3.225024957,4.559932482,1.540493158,2.751031541,3.394113798,2.610415863,2.378603765,3.130324539,3.113794756,3.94879104,4.408002766,4.645418653,2.442303562,2.404026871,4.224820774
2007/08,4.875324937,1.453014272,1.806385207,1.880712718,5.123681205,2.954959167,2.221962856,3.249335147,5.989614866,3.376604014,3.301190157,1.35642809,2.962472871,3.459145182,5.232569044,2.480243818,2.878092739,3.483607529,4.428151133,1.424138625,3.386060192,3.950378456,2.411841487,2.884974215,2.943101255,3.465025589,4.426449873,5.302084421,5.270998184,2.319131602,2.573821073,3.521754152
2007/09,5.142477835,1.743354748,2.218053413,2.153588563,5.411374819,2.859675211,2.128158482,2.867278384,6.302518496,3.504569986,3.690024493,1.284023674,3.171019193,3.295631066,5.687191601,2.662443386,3.087191972,3.677783676,4.507270464,1.508348472,3.465365468,3.97479285,2.64624438,2.877585279,2.841037824,3.248993154,4.605026843,5.599932761,5.945949592,2.361564025,2.909585102,3.52626256
2007/10,5.243782897,1.888400359,2.353486128,2.356067913,5.18230025,2.882628394,2.018035384,3.357935278,6.137298026,3.186591361,3.774941561,1.20065839,3.281545638,3.847558967,5.580332697,2.791127642,3.350616164,3.132479542,4.011434395,1.840809954,3.667607235,3.840424787,3.191315333,2.999196381,2.690790484,3.307940233,4.120869209,4.798179462,5.803347889,2.296731278,2.894351043,3.52498226
